BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,096,476.00 "
2018,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,097,000.00 "
2013,PUBLIC WORKS - STREET LIGHTING,"$1,097,200.00 "
2016,POLICE,"$1,097,704.71 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,097,812.52 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,098,853.09 "
2014,MAYOR,"$1,099,031.62 "
2014,NON-DEPARTMENTAL - GENERAL,"$1,099,469.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,100,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,100,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,100,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,100,000.00 "
2016,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,100,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,100,000.00 "
2014,NON-DEPARTMENTAL - GENERAL,"$1,100,000.00 "
2015,NON-DEPARTMENTAL - GENERAL,"$1,100,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,100,000.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$1,100,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,100,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,101,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,102,500.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,102,757.63 "
2018,POLICE,"$1,103,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,103,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,105,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,105,014.40 "
2013,RECREATION AND PARKS,"$1,105,883.66 "
2017,RECREATION AND PARKS,"$1,106,880.56 "
2014,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,107,743.00 "
2016,MAYOR,"$1,108,508.00 "
2013,POLICE,"$1,110,000.00 "
2012,NON-DEPARTMENTAL - GENERAL,"$1,110,000.00 "
2013,NON-DEPARTMENTAL - GENERAL,"$1,110,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,110,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,110,550.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,111,107.39 "
2012,MAYOR,"$1,111,808.13 "
2012,OFFICE OF FINANCE,"$1,113,460.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,115,000.00 "
2013,COUNCIL,"$1,115,321.58 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,115,366.00 "
2017,PUBLIC WORKS - SANITATION,"$1,117,025.00 "
2016,PUBLIC WORKS - ENGINEERING,"$1,117,246.00 "
2017,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,117,363.92 "
2013,MAYOR,"$1,117,438.69 "
2013,MAYOR,"$1,117,633.38 "
2015,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,118,309.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,119,480.00 "
2017,CULTURAL AFFAIRS,"$1,121,265.00 "
2014,COUNCIL,"$1,122,430.00 "
2017,TRANSPORTATION,"$1,122,550.00 "
2013,CITY ETHICS COMMISSION,"$1,122,836.00 "
2015,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,123,064.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,124,806.04 "
2018,TRANSPORTATION,"$1,125,000.00 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,125,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,125,600.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,126,000.00 "
2018,PUBLIC ACCOUNTABILITY,"$1,127,037.80 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,127,687.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,127,980.00 "
2017,POLICE,"$1,128,000.00 "
2012,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,128,000.00 "
2013,POLICE,"$1,128,517.32 "
2014,RECREATION AND PARKS,"$1,128,879.52 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,130,259.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,131,444.48 "
2015,BUILDING AND SAFETY,"$1,133,069.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,133,154.97 "
2014,ZOO,"$1,134,121.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,136,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,136,000.00 "
2012,MAYOR,"$1,136,625.44 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,137,272.00 "
2014,CONTROLLER,"$1,137,280.01 "
2013,PENSION,"$1,137,500.00 "
2017,RECREATION AND PARKS,"$1,138,737.53 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,138,769.10 "
2015,PENSION,"$1,138,990.40 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,139,000.00 "
2012,POLICE,"$1,140,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,140,000.00 "
2014,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,140,000.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,140,104.00 "
2013,CITY PLANNING,"$1,141,440.00 "
2017,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,142,944.37 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,143,558.99 "
2018,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,147,000.00 "
2013,CITY PLANNING,"$1,147,232.68 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,147,654.10 "
2018,POLICE,"$1,148,150.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,148,675.00 "
2012,MAYOR,"$1,148,752.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,150,000.00 "
2017,PUBLIC WORKS - STREET LIGHTING,"$1,150,336.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,150,366.02 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,151,536.00 "
2018,CITY CLERK,"$1,151,955.20 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,152,241.10 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,153,446.00 "
2014,BUILDING AND SAFETY,"$1,154,047.00 "
2018,POLICE,"$1,155,494.93 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,155,667.18 "
2012,TRANSPORTATION,"$1,156,041.23 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,156,150.00 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,156,150.00 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,156,150.00 "
2012,CITY CLERK,"$1,157,194.78 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,158,000.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,158,966.00 "
2018,TRANSPORTATION,"$1,159,632.28 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,160,652.92 "
2016,CITY ATTORNEY,"$1,161,449.11 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,161,889.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,162,046.51 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,162,608.00 "
2015,MAYOR,"$1,162,784.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,163,058.00 "
2012,GENERAL SERVICES,"$1,163,393.06 "
2015,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,164,000.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,164,085.00 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,164,589.60 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,165,051.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,165,630.98 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,167,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,167,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,167,517.25 "
2018,INFORMATION TECHNOLOGY AGENCY,"$1,167,744.00 "
2012,INFORMATION TECHNOLOGY AGENCY,"$1,168,134.13 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,169,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,169,951.00 "
2015,MAYOR,"$1,169,973.41 "
2018,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,170,000.00 "
2016,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,170,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,170,000.00 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,170,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,170,111.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,170,217.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,170,246.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,170,523.78 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,170,537.00 "
2014,TRANSPORTATION,"$1,171,800.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,171,850.00 "
2013,OFFICE OF FINANCE,"$1,172,399.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,173,751.00 "
2013,PUBLIC WORKS - STREET LIGHTING,"$1,173,779.00 "
2017,POLICE,"$1,174,500.00 "
2016,CITY ATTORNEY,"$1,175,000.00 "
2017,CITY ATTORNEY,"$1,176,169.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,176,300.00 "
2012,PUBLIC WORKS - ENGINEERING,"$1,176,428.56 "
2013,TRANSPORTATION,"$1,177,000.00 "
2015,POLICE,"$1,177,000.00 "
2016,POLICE,"$1,177,000.00 "
2012,TRANSPORTATION,"$1,178,662.72 "
2012,AGING,"$1,179,252.00 "
2015,TRANSPORTATION,"$1,180,000.00 "
2014,CITY PLANNING,"$1,180,280.00 "
2015,RECREATION AND PARKS,"$1,181,370.10 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,183,880.99 "
2018,PUBLIC ACCOUNTABILITY,"$1,184,200.00 "
2017,CITY CLERK,"$1,184,395.54 "
2012,INFORMATION TECHNOLOGY AGENCY,"$1,184,940.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,186,691.99 "
2015,POLICE,"$1,187,737.82 "
2015,RECREATION AND PARKS,"$1,188,104.00 "
2016,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,188,337.72 "
2014,AGING,"$1,189,225.00 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,189,277.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,189,348.20 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,189,711.43 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,190,106.27 "
2012,COUNCIL,"$1,191,260.17 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,192,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,193,064.00 "
2015,RECREATION AND PARKS,"$1,193,589.73 "
2014,NON-DEPARTMENTAL - GENERAL,"$1,194,000.00 "
2013,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,194,363.25 "
2017,TRANSPORTATION,"$1,194,556.35 "
2017,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,194,587.79 "
2012,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,195,038.00 "
2015,AGING,"$1,195,168.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,197,545.00 "
2016,AGING,"$1,198,720.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,200,000.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,200,000.00 "
2015,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,200,000.00 "
2018,TRANSPORTATION,"$1,200,000.00 "
2017,CITY EMPLOYEES RETIREMENT SYSTEM,"$1,200,000.00 "
2015,PENSION,"$1,200,000.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,200,000.00 "
2018,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,200,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,200,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,200,000.00 "
2018,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,200,000.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,200,000.00 "
2013,TRANSPORTATION,"$1,201,000.00 "
2018,TRANSPORTATION,"$1,201,208.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,201,750.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,201,750.00 "
2015,COUNCIL,"$1,201,829.61 "
2015,PUBLIC WORKS - STREET LIGHTING,"$1,202,439.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,202,500.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,203,933.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,204,920.91 "
2012,PUBLIC WORKS - STREET LIGHTING,"$1,205,635.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,206,158.56 "
2018,PUBLIC WORKS - STREET LIGHTING,"$1,207,250.00 "
2014,RECREATION AND PARKS,"$1,208,104.00 "
2012,PUBLIC WORKS - STREET SERVICES,"$1,209,513.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,210,486.20 "
2015,RECREATION AND PARKS,"$1,210,732.33 "
2012,FIRE,"$1,211,902.61 "
2013,PUBLIC WORKS - STREET LIGHTING,"$1,212,950.20 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,214,019.00 "
2013,CITY PLANNING,"$1,214,068.50 "
2015,PUBLIC WORKS - STREET SERVICES,"$1,214,646.00 "
2014,PUBLIC WORKS - STREET SERVICES,"$1,214,646.00 "
2013,PUBLIC WORKS - STREET SERVICES,"$1,214,646.00 "
2015,COUNCIL,"$1,214,935.00 "
2015,BUILDING AND SAFETY,"$1,215,455.01 "
2014,RECREATION AND PARKS,"$1,216,148.89 "
2012,TRANSPORTATION,"$1,216,209.00 "
2017,CITY CLERK,"$1,216,836.00 "
2014,MAYOR,"$1,216,846.22 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,216,989.57 "
2016,RECREATION AND PARKS,"$1,219,104.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,219,450.00 "
2015,TRANSPORTATION,"$1,220,075.10 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,220,133.00 "
2013,TRANSPORTATION,"$1,221,250.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,221,917.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,222,775.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,223,349.00 "
2017,POLICE,"$1,223,582.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,224,165.00 "
2012,ZOO,"$1,224,400.00 "
2013,ZOO,"$1,224,400.00 "
2015,CITY CLERK,"$1,224,905.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,224,939.00 "
2012,NON-DEPARTMENTAL - GENERAL,"$1,225,000.00 "
2013,NON-DEPARTMENTAL - GENERAL,"$1,225,000.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,225,865.00 "
2013,TRANSPORTATION,"$1,226,918.86 "
2013,TRANSPORTATION,"$1,228,120.82 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,228,181.19 "
2017,POLICE,"$1,228,744.00 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,229,031.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,229,921.80 "
2013,CITY CLERK,"$1,230,432.00 "
2012,FIRE,"$1,230,910.00 "
2017,TRANSPORTATION,"$1,231,000.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,232,409.13 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,232,737.85 "
2014,PUBLIC WORKS - STREET LIGHTING,"$1,232,800.00 "
2017,RECREATION AND PARKS,"$1,232,878.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,232,878.00 "
2018,CITY ATTORNEY,"$1,234,000.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,234,180.94 "
2016,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,236,927.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,237,626.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,238,685.08 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,238,929.31 "
2017,DISABILITY,"$1,239,211.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,240,000.00 "
2017,BUILDING AND SAFETY,"$1,240,736.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,240,969.05 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,241,283.05 "
2012,INFORMATION TECHNOLOGY AGENCY,"$1,241,837.07 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,241,871.15 "
2017,TRANSPORTATION,"$1,242,774.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,243,796.98 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,244,537.57 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,245,490.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,246,328.00 "
2018,CITY EMPLOYEES RETIREMENT SYSTEM,"$1,248,000.00 "
2012,RECREATION AND PARKS,"$1,248,277.00 "
2018,RECREATION AND PARKS,"$1,249,424.93 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,250,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,250,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,250,000.00 "
2018,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,250,000.00 "
2013,AGING,"$1,250,270.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,250,827.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,251,750.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,251,880.00 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,251,883.04 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,252,000.00 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,252,844.00 "
2016,PUBLIC WORKS - STREET SERVICES,"$1,254,646.00 "
2016,TRANSPORTATION,"$1,255,858.00 "
2017,PUBLIC WORKS - STREET SERVICES,"$1,256,077.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,256,304.44 "
2013,POLICE,"$1,257,000.00 "
2018,POLICE,"$1,257,196.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,258,020.99 "
2012,COUNCIL,"$1,259,493.60 "
2014,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,260,000.00 "
2018,TRANSPORTATION,"$1,260,000.00 "
2013,GENERAL SERVICES,"$1,260,173.04 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,260,792.43 "
2012,POLICE,"$1,260,871.20 "
2016,RECREATION AND PARKS,"$1,261,011.66 "
2014,TRANSPORTATION,"$1,261,562.46 "
2014,OFFICE OF FINANCE,"$1,261,750.00 "
2016,PUBLIC WORKS - ENGINEERING,"$1,262,208.00 "
2014,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,262,668.25 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,262,742.00 "
2016,BUILDING AND SAFETY,"$1,262,841.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,263,398.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,264,761.34 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,265,388.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,265,987.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,266,060.51 "
2015,RECREATION AND PARKS,"$1,266,225.62 "
2014,PENSION,"$1,266,700.00 "
2014,POLICE,"$1,267,000.00 "
2017,RECREATION AND PARKS,"$1,267,250.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,267,858.70 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,267,952.77 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,269,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,269,131.76 "
2012,TRANSPORTATION,"$1,269,185.42 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,269,665.91 "
2017,RECREATION AND PARKS,"$1,270,264.01 "
2017,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,271,950.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,272,147.99 "
2016,GENERAL SERVICES,"$1,272,192.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,273,898.95 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,273,947.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,275,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,276,649.56 "
2018,DISABILITY,"$1,278,905.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,281,107.78 "
2018,ZOO,"$1,281,682.00 "
2015,TRANSPORTATION,"$1,282,177.00 "
2013,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,282,222.21 "
2014,EMERGENCY OPERATIONS BOARD,"$1,282,446.64 "
2016,PUBLIC WORKS - STREET LIGHTING,"$1,283,550.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,283,816.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,285,707.33 "
2013,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,286,026.00 "
2016,RECREATION AND PARKS,"$1,286,633.46 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,286,651.27 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,287,437.60 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,288,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,288,976.89 "
2014,CITY ATTORNEY,"$1,289,599.00 "
2012,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,290,000.00 "
2017,BUILDING AND SAFETY,"$1,290,487.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,291,693.00 "
2017,RECREATION AND PARKS,"$1,292,270.59 "
2012,RECREATION AND PARKS,"$1,292,500.00 "
2012,COUNCIL,"$1,292,766.97 "
